latitude,longitude,Zonencode,Bereich,Höchstparkdauer
51.5342479,9.936500599999999,37001,Parkzone I - Straßenrandparkplätze,4 Stunden
51.5312698,9.9367063,37005,Parkzone II - Straßenrandparkplätze,4 Stunden
51.5417624,9.942281964363204,37008,"Parkzone II - Humboldtallee, Nikolausberger Weg, Kreuzbergring, Von-Siebold-Str.",6 Stunden
51.5412485,9.94429383803184,37009,Parkzone II - Waldweg,11 Stunden
51.5536032,9.942337832034795,37010,"Parkzone II - Am Papenberg, Zimmermannstr.",Tagesticket
51.5295419,9.9399561,37101,Parkzone I - Parkplatz Am Geismar Tor ,4 Stunden
51.5331039,9.9268174,37102,Parkzone I - Parkplatz Bürgerstraße,4 Stunden
51.5346776,9.9420515,37103,Parkzone I - Parkplatz Albaniplatz,8 Stunden
51.5366345,9.9324646,37104,Parkzone I - Parkplatz Reitstallstraße,4 Stunden
51.5292048,9.9330626,37105,Parkzone I - Parkplatz Bürgerstraße / Juzi ,4 Stunden
51.5301267,9.937980188682221,37106,Parkzone I - Parkplatz Rosengarten,10 Stunden
51.5313649,9.9279618,37107,Parkzone I - Parkplatz Voigt Realschule,4 Stunden
51.53673295,9.928201242661054,37108,Parkzone I - Parkplatz Bahnhof Ost,1 Stunde
51.5376746,9.9302981,37109,Parkzone I - Parkplatz Justizbehörden,4 Stunden
51.53385895,9.943545474201493,37201,Parkzone II - Parkplatz Stadthalle,4 Stunden
51.5281147,9.9405741,37202,Parkzone II - Parkplatz Rathaus I,4 Stunden
51.5281644,9.940556700074943,37203,Parkzone II - Parkplatz Rathaus II + Tiefgarage,4 Stunden
51.5406298,9.9355383,37204,Parkzone II - Parkplatz Platz der Göttinger Sieben ,8 Stunden
51.5375846,9.9407806,37205,Parkzone II - Parkplatz M-P-G / Sporthalle,8 Stunden
51.5415933,9.9378142,37206,Parkzone II - Parkplatz Goßlerstraße,8 Stunden
51.52878,9.9315628,37207,Parkzone II - Parkplatz FKG Bürgerstraße 36,4 Stunden
51.5328328,9.9351811,37208,Parkzone II - Parkplatz Landkreis (Freitags ab 15 Uhr und Samstags),4 Stunden
51.5288504,9.9360853,37209,Parkzone II - Parkplatz Bonifatiusschule I (nur Samstags),4 Stunden
