PSA,location,latitude,longitude,zone
1,Am Geismar Tor,51.5295419,9.9399561,37101
1 - 2,Am Geismar Tor,51.5295419,9.9399561,37101
2,Bürgerstraße,51.5331039,9.9268174,37102
3,Papendiek,51.5338266,9.931693,37001
4,Bonifatiusschule -,51.5288504,9.9360853,37209
5,Prinzenstraße,51.5344067,9.9324191,37001
6,Albaniplatz,51.5346776,9.9420515,37103
7,Albaniplatz,51.5346776,9.9420515,37103
8,Am Theater,51.5353726,9.9412661,37001
9,Groner-Tor-Straße,51.5331039,9.9268174,37001
10,Friedrichstraße / Postberg,51.5346986,9.9406981,37001
11,Herzberger Landstraße,51.534709,9.9416985,37001
12,Theaterstraße,51.535156650000005,9.938049098445322,37001
13,Friedrichstraße / Obere Karspüle,51.5356716,9.9388529,37001
14,Burgstraße,51.5349526,9.9378872,37001
15,Theaterstraße,51.535156650000005,9.938049098445322,37001
16,Reitstallstraße,51.5366345,9.9324646,37104
17,Goethe-Allee / Geiststraße,51.5348445,9.9289833,37001
18,Goethe-Allee / Neustadt,51.5347373,9.9300435,37001
19,Goethe-Allee / Papendiek,51.5345258,9.9316258,37001
20,Hospitalstraße / Kurze Straße,51.5303067,9.9362637,37001
21,Kurze-Geismar-Straße,51.5294772,9.9387122,37001
22,Hospitalstraße / Nikolaistraße,51.5300519,9.9329001,37001
23,Goethe-Allee,51.5353251,9.931286426907814,37001
24,Goethe-Allee,51.5353251,9.931286426907814,37001
25,Papendiek / Johannisstraße,51.5331539,9.9315239,37001
26,Gaußstraße,51.5280203,9.9415412,37005
27,Albanikirchhof,51.5319213,9.942705047279144,37001
28,Stadthalle,51.53385895,9.943545474201493,37201
29,Rathaus - Außenstellplätze,51.5281147,9.9405741,37202
30,Rathaus - Tiefgarage (S),51.5281644,9.940556700074943,37203
31,Reinhäuser Landstraße,51.5284735,9.938928,37005
32,Reinhäuser Landstraße,51.5284735,9.938928,37005
33,Reinhäuser Landstraße,51.5284735,9.938928,37005
34,Reinhäuser Landstraße,51.5284735,9.938928,37005
35,Schillerstraße,51.5249491,9.9364939,37005
36,Schillerstraße,51.5249491,9.9364939,37005
37,Schillerstraße,51.5249491,9.9364939,37005
38,Am Feuerschanzengraben,51.5274037,9.9415176,37005
39,Sternstraße,51.5286764,9.9412645,37005
40,Sternstraße,51.5286764,9.9412645,37005
41,Rote Straße,51.5331388,9.9383536,37001
42,Lange-Geismar-Straße,51.5316954,9.9367375,37001
43,Lange-Geismar-Straße,51.5316954,9.9367375,37001
44,Keplerstraße,51.5293708,9.940254,37005
45,Keplerstraße,51.5293708,9.940254,37005
46,Schildweg,51.5293711,9.9406184,37005
